# Total mass density,N2,O2,O,He,H,Ar,N,Anomalous O,NO,Temperature,
1.707081943750381470e-01,2.773092407302105405e+24,7.436252191569734827e+23,nan,1.846723457240478515e+19,nan,3.314158658565283040e+22,nan,nan,nan,2.245444793701171875e+02
1.707003563642501831e-01,2.772965297706222500e+24,7.435912079725875807e+23,nan,1.846639014747465318e+19,nan,3.314006887257840655e+22,nan,nan,nan,2.248580322265625000e+02
1.706912517547607422e-01,2.772817435523256672e+24,7.435515042382726824e+23,nan,1.846540278603291034e+19,nan,3.313829895792484994e+22,nan,nan,nan,2.251651763916015625e+02
1.706814914941787720e-01,2.772658620585997079e+24,7.435089182001962670e+23,nan,1.846434725487024538e+19,nan,3.313640294248172696e+22,nan,nan,nan,2.254657897949218750e+02
1.706717312335968018e-01,2.772500093879113637e+24,7.434664042197138895e+23,nan,1.846328952468432486e+19,nan,3.313450692703860398e+22,nan,nan,nan,2.257597961425781250e+02
1.706613153219223022e-01,2.772330902648312583e+24,7.434210079354699949e+23,nan,1.846216362477748224e+19,nan,3.313248481080591463e+22,nan,nan,nan,2.260471343994140625e+02
1.706508845090866089e-01,2.772161711417511528e+24,7.433756116512261003e+23,nan,1.846103772487063962e+19,nan,3.313046269457322528e+22,nan,nan,nan,2.263276519775390625e+02
1.706391721963882446e-01,2.771971191138875246e+24,7.433245948746472473e+23,nan,1.845976888845218611e+19,nan,3.312818837676140318e+22,nan,nan,nan,2.266013336181640625e+02
1.706274598836898804e-01,2.771780959090615117e+24,7.432735780980683943e+23,nan,1.845850225105698816e+19,nan,3.312591405894958108e+22,nan,nan,nan,2.268679656982421875e+02
1.706157475709915161e-01,2.771590727042354987e+24,7.432224892638955034e+23,nan,1.845723341463853466e+19,nan,3.312363974113775898e+22,nan,nan,nan,2.271276092529296875e+02
1.706027388572692871e-01,2.771379165946259630e+24,7.431658519949816921e+23,nan,1.845582603975498138e+19,nan,3.312111096994699044e+22,nan,nan,nan,2.273800811767578125e+02
1.705890595912933350e-01,2.771157228556622812e+24,7.431062603647123257e+23,nan,1.845434829612725043e+19,nan,3.311845834976646922e+22,nan,nan,nan,2.276253814697265625e+02
1.705753952264785767e-01,2.770935291166985994e+24,7.430467407920369972e+23,nan,1.845286835347626394e+19,nan,3.311580572958594800e+22,nan,nan,nan,2.278633575439453125e+02
1.705623865127563477e-01,2.770723730070890638e+24,7.429901035231231858e+23,nan,1.845146097859271066e+19,nan,3.311327921019499315e+22,nan,nan,nan,2.280940399169921875e+02
1.705467700958251953e-01,2.770470087339877132e+24,7.429220811543513819e+23,nan,1.844977212873244672e+19,nan,3.311024828764577281e+22,nan,nan,nan,2.283173522949218750e+02
1.705330908298492432e-01,2.770248149950240314e+24,7.428625615816760534e+23,nan,1.844829438510471578e+19,nan,3.310759566746525159e+22,nan,nan,nan,2.285331878662109375e+02
1.705181449651718140e-01,2.770005171743144421e+24,7.427973494590717286e+23,nan,1.844667590398862950e+19,nan,3.310469084570559762e+22,nan,nan,nan,2.287414398193359375e+02
1.705025434494018555e-01,2.769751529012130914e+24,7.427293991478939626e+23,nan,1.844498705412836557e+19,nan,3.310165992315637727e+22,nan,nan,nan,2.289421844482421875e+02
1.704862713813781738e-01,2.769487509987575946e+24,7.426585665329546794e+23,nan,1.844322783552392397e+19,nan,3.309850289981759055e+22,nan,nan,nan,2.291353302001953125e+02
1.704706549644470215e-01,2.769233867256562440e+24,7.425905441641828754e+23,nan,1.844154008517528781e+19,nan,3.309547422906818390e+22,nan,nan,nan,2.293207855224609375e+02
1.704537570476531982e-01,2.768959183708089859e+24,7.425169013030761131e+23,nan,1.843971049782666854e+19,nan,3.309219110493983080e+22,nan,nan,nan,2.294985656738281250e+02
1.704368442296981812e-01,2.768684500159617277e+24,7.424432584419693507e+23,nan,1.843788200998967706e+19,nan,3.308891023261129140e+22,nan,nan,nan,2.296685333251953125e+02
1.704193055629730225e-01,2.768399440317603234e+24,7.423668053346951092e+23,nan,1.843598315340850790e+19,nan,3.308550100769337193e+22,nan,nan,nan,2.298308105468750000e+02
1.704017519950866699e-01,2.768114380475589192e+24,7.422903522274208677e+23,nan,1.843408429682733875e+19,nan,3.308209403457526615e+22,nan,nan,nan,2.299852294921875000e+02
1.703841984272003174e-01,2.767829320633575149e+24,7.422138991201466261e+23,nan,1.843218544024616960e+19,nan,3.307868706145716037e+22,nan,nan,nan,2.301318817138671875e+02
1.703666597604751587e-01,2.767544260791561106e+24,7.421374460128723846e+23,nan,1.843028768317662822e+19,nan,3.307528008833905459e+22,nan,nan,nan,2.302706146240234375e+02
1.703484505414962769e-01,2.767248536425629449e+24,7.420581826594306638e+23,nan,1.842831845785128141e+19,nan,3.307174701443138244e+22,nan,nan,nan,2.304014434814453125e+02
1.703302562236785889e-01,2.766953100290073945e+24,7.419789193059889431e+23,nan,1.842635033203756237e+19,nan,3.306821394052371028e+22,nan,nan,nan,2.305244445800781250e+02
1.703120619058609009e-01,2.766657664154518440e+24,7.418996559525472224e+23,nan,1.842438220622384333e+19,nan,3.306468311841585181e+22,nan,nan,nan,2.306395721435546875e+02
1.702932268381118774e-01,2.766351563495045323e+24,7.418175823529380225e+23,nan,1.842234481117757440e+19,nan,3.306102619551842697e+22,nan,nan,nan,2.307467346191406250e+02
1.702743917703628540e-01,2.766045462835572205e+24,7.417355808109228605e+23,nan,1.842030631661967770e+19,nan,3.305736702082118844e+22,nan,nan,nan,2.308459930419921875e+02
