# YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,TIMEZONE,DELTA_UT1,DELTA_T,LONGITUDE,LATITUDE,ELEVATION,PRESSURE,TEMPERATURE,SLOPE,AZM_ROTATION,ATMOS_REFRACT,FUNCTION
2023.00,1.00,18.00,13.00,55.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,0.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,5.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,10.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,15.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,20.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,25.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,30.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,35.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
2023.00,1.00,18.00,14.00,40.00,0.00,2.00,0.00,69.18,4.35,52.00,0.00,1013.25,2.88,0.00,0.00,0.65,1.00
