# Total mass density,N2,O2,O,He,H,Ar,N,Anomalous O,NO,Temperature,
1.749231517314910889e-01,2.841562974308825288e+24,7.619861426361838621e+23,nan,1.892321084053651456e+19,nan,3.395988838614623584e+22,nan,nan,nan,2.075870056152343750e+02
1.749138236045837402e-01,2.841411365130969488e+24,7.619454300955524328e+23,nan,1.892219928983896064e+19,nan,3.395807343549640553e+22,nan,nan,nan,2.075193786621093750e+02
1.749037951231002808e-01,2.841248803198819923e+24,7.619018352511594864e+23,nan,1.892111737039722906e+19,nan,3.395613013225719516e+22,nan,nan,nan,2.074552001953125000e+02
1.748931407928466797e-01,2.841075288512376592e+24,7.618553581030050229e+23,nan,1.891996288318806426e+19,nan,3.395405847642860474e+22,nan,nan,nan,2.073944549560546875e+02
1.748824417591094971e-01,2.840901773825933262e+24,7.618088088972565215e+23,nan,1.891880839597889946e+19,nan,3.395198682060001431e+22,nan,nan,nan,2.073371276855468750e+02
1.748697757720947266e-01,2.840695977337360939e+24,7.617536127802234687e+23,nan,1.891743620546743501e+19,nan,3.394952560340365633e+22,nan,nan,nan,2.072832641601562500e+02
1.748564392328262329e-01,2.840479228094494852e+24,7.616955343594288988e+23,nan,1.891599364621179290e+19,nan,3.394693603361791830e+22,nan,nan,nan,2.072328948974609375e+02
1.748437732458114624e-01,2.840273431605922530e+24,7.616402661848018080e+23,nan,1.891462365472358400e+19,nan,3.394447481642156032e+22,nan,nan,nan,2.071859741210937500e+02
1.748297512531280518e-01,2.840045729608762678e+24,7.615793054602457210e+23,nan,1.891310852770050867e+19,nan,3.394175689404644223e+22,nan,nan,nan,2.071425018310546875e+02
1.748144179582595825e-01,2.839796698563767599e+24,7.615125080705725618e+23,nan,1.891144826514256691e+19,nan,3.393877776289293664e+22,nan,nan,nan,2.071025543212890625e+02
1.747990846633911133e-01,2.839547667518772520e+24,7.614456386233053647e+23,nan,1.890978800258462515e+19,nan,3.393580088353924474e+22,nan,nan,nan,2.070660705566406250e+02
1.747824102640151978e-01,2.839276730965189911e+24,7.613730766261091712e+23,nan,1.890798480351507251e+19,nan,3.393256504720697904e+22,nan,nan,nan,2.070330963134765625e+02
1.747657507658004761e-01,2.839006082641983454e+24,7.613004425713189399e+23,nan,1.890618160444551987e+19,nan,3.392932921087471334e+22,nan,nan,nan,2.070036010742187500e+02
1.747477352619171143e-01,2.838713528810189466e+24,7.612220439090056743e+23,nan,1.890423546886435635e+19,nan,3.392583441756387384e+22,nan,nan,nan,2.069776306152343750e+02
1.747297495603561401e-01,2.838421263208771630e+24,7.611436452466924087e+23,nan,1.890228933328319283e+19,nan,3.392233962425303433e+22,nan,nan,nan,2.069551391601562500e+02
1.747104376554489136e-01,2.838107380329142416e+24,7.610594099192620709e+23,nan,1.890019806216716288e+19,nan,3.391858812576343471e+22,nan,nan,nan,2.069362182617187500e+02
1.746910810470581055e-01,2.837793209219137051e+24,7.609752466494257711e+23,nan,1.889810679105113293e+19,nan,3.391483437547402140e+22,nan,nan,nan,2.069207000732421875e+02
1.746704280376434326e-01,2.837457709061296458e+24,7.608852467144723991e+23,nan,1.889587258342349210e+19,nan,3.391082617180566166e+22,nan,nan,nan,2.069087524414062500e+02
1.746484488248825073e-01,2.837100591625244487e+24,7.607894821719959929e+23,nan,1.889349324026098483e+19,nan,3.390655675935891443e+22,nan,nan,nan,2.069002838134765625e+02
1.746277958154678345e-01,2.836765091467403895e+24,7.606995542946366588e+23,nan,1.889125903263334400e+19,nan,3.390254630389074100e+22,nan,nan,nan,2.068953094482421875e+02
1.746058166027069092e-01,2.836407974031351924e+24,7.606037897521602526e+23,nan,1.888888188849409229e+19,nan,3.389827914324380746e+22,nan,nan,nan,2.068938293457031250e+02
1.745831817388534546e-01,2.836040192071382340e+24,7.605051429059223292e+23,nan,1.888643217658740736e+19,nan,3.389388363000749385e+22,nan,nan,nan,2.068958587646484375e+02
1.745592057704925537e-01,2.835650792833201377e+24,7.604006593945673337e+23,nan,1.888383732914585600e+19,nan,3.388922915979260645e+22,nan,nan,nan,2.069013977050781250e+02
1.745365560054779053e-01,2.835283010873231793e+24,7.603020846059234483e+23,nan,1.888138981626242662e+19,nan,3.388483364655629284e+22,nan,nan,nan,2.069103851318359375e+02
1.745119094848632812e-01,2.834882658880757065e+24,7.601947908484009736e+23,nan,1.887872460007669760e+19,nan,3.388005082375202537e+22,nan,nan,nan,2.069228515625000000e+02
1.744872927665710449e-01,2.834482595118658489e+24,7.600874970908784989e+23,nan,1.887605938389096858e+19,nan,3.387527025274757159e+22,nan,nan,nan,2.069387817382812500e+02
1.744620054960250854e-01,2.834071866832642300e+24,7.599773210295945071e+23,nan,1.887332379896106189e+19,nan,3.387035907735392407e+22,nan,nan,nan,2.069581909179687500e+02
1.744367182254791260e-01,2.833661138546626111e+24,7.598671449683105153e+23,nan,1.887058821403115520e+19,nan,3.386545015376009023e+22,nan,nan,nan,2.069810485839843750e+02
1.744114309549331665e-01,2.833250410260609922e+24,7.597570409646205614e+23,nan,1.886785262910124851e+19,nan,3.386054123016625639e+22,nan,nan,nan,2.070073089599609375e+02
1.743854731321334839e-01,2.832828729220299967e+24,7.596439825995750525e+23,nan,1.886504667542716416e+19,nan,3.385550395398304249e+22,nan,nan,nan,2.070370178222656250e+02
1.743595302104949951e-01,2.832407336410366165e+24,7.595309962921235815e+23,nan,1.886224072175307981e+19,nan,3.385046892959964227e+22,nan,nan,nan,2.070701599121093750e+02
